Date,Open,High,Low,Close,Volume,Adjusted
2012-07-10,1135000 ,1142000 ,1121000 ,1127000 ,355742 ,1127000 
2012-07-11,1129000 ,1133000 ,1108000 ,1118000 ,361358 ,1118000 
2012-07-12,1121000 ,1126000 ,1091000 ,1091000 ,500103 ,1091000 
2012-07-13,1096000 ,1144000 ,1091000 ,1139000 ,542252 ,1139000 
2012-07-16,1145000 ,1155000 ,1133000 ,1152000 ,305730 ,1152000 
2012-07-17,1148000 ,1178000 ,1136000 ,1168000 ,317913 ,1168000 
2012-07-18,1179000 ,1185000 ,1138000 ,1154000 ,292655 ,1154000 
2012-07-19,1180000 ,1202000 ,1172000 ,1195000 ,497504 ,1195000 
2012-07-20,1202000 ,1203000 ,1191000 ,1191000 ,240244 ,1191000 
2012-07-23,1165000 ,1170000 ,1155000 ,1162000 ,258087 ,1162000 
2012-07-24,1165000 ,1175000 ,1159000 ,1170000 ,292532 ,1170000 
2012-07-25,1153000 ,1172000 ,1139000 ,1158000 ,273353 ,1158000 
2012-07-26,1169000 ,1174000 ,1160000 ,1172000 ,273339 ,1172000 
2012-07-27,1195000 ,1233000 ,1191000 ,1233000 ,534352 ,1233000 
2012-07-30,1260000 ,1278000 ,1251000 ,1275000 ,382995 ,1275000 
2012-07-31,1280000 ,1334000 ,1275000 ,1309000 ,676303 ,1309000 
2012-08-01,1292000 ,1315000 ,1283000 ,1300000 ,381803 ,1300000 
2012-08-02,1300000 ,1304000 ,1261000 ,1263000 ,320335 ,1263000 
2012-08-03,1240000 ,1267000 ,1238000 ,1243000 ,312338 ,1243000 
2012-08-06,1285000 ,1305000 ,1282000 ,1298000 ,246024 ,1298000 
2012-08-07,1303000 ,1304000 ,1284000 ,1294000 ,205823 ,1294000 
2012-08-08,1306000 ,1328000 ,1301000 ,1320000 ,389471 ,1320000 
2012-08-09,1321000 ,1348000 ,1318000 ,1340000 ,612875 ,1340000 
2012-08-10,1335000 ,1348000 ,1330000 ,1348000 ,294895 ,1348000 
2012-08-13,1342000 ,1347000 ,1323000 ,1325000 ,197976 ,1325000 
2012-08-14,1326000 ,1350000 ,1326000 ,1345000 ,289928 ,1345000 
2012-08-15,1326000 ,1350000 ,1326000 ,1345000 ,289928 ,1345000 
2012-08-16,1354000 ,1355000 ,1338000 ,1345000 ,296891 ,1345000 
2012-08-17,1344000 ,1345000 ,1286000 ,1295000 ,554025 ,1295000 
2012-08-20,1270000 ,1283000 ,1255000 ,1283000 ,399820 ,1283000 
2012-08-21,1292000 ,1302000 ,1282000 ,1282000 ,307047 ,1282000 
2012-08-22,1269000 ,1281000 ,1257000 ,1264000 ,321554 ,1264000 
2012-08-23,1261000 ,1287000 ,1249000 ,1287000 ,277600 ,1287000 
2012-08-24,1270000 ,1287000 ,1264000 ,1275000 ,282921 ,1275000 
2012-08-27,1189000 ,1203000 ,1173000 ,1180000 ,1277983 ,1180000 
2012-08-28,1186000 ,1209000 ,1180000 ,1195000 ,558503 ,1195000 
2012-08-29,1209000 ,1235000 ,1207000 ,1230000 ,469517 ,1230000 
2012-08-30,1228000 ,1229000 ,1202000 ,1215000 ,324636 ,1215000 
2012-08-31,1211000 ,1234000 ,1207000 ,1233000 ,407358 ,1233000 
2012-09-03,1220000 ,1235000 ,1201000 ,1218000 ,278537 ,1218000 
