date,open,high,low,close,adjusted,volume
1997-07-21,68400 ,70000 ,67800 ,68800 ,61476 ,37770 
1997-07-22,68500 ,69500 ,67800 ,69000 ,61655 ,64750 
1997-07-23,69000 ,70000 ,68500 ,68500 ,61208 ,56070 
1997-07-24,68000 ,69000 ,68000 ,69000 ,61655 ,53570 
1997-07-25,69000 ,69700 ,67500 ,67500 ,60315 ,31140 
1997-07-28,67500 ,68000 ,67100 ,67300 ,60136 ,36120 
1997-07-29,67000 ,67300 ,66600 ,66800 ,59689 ,53700 
1997-07-30,66800 ,67000 ,65000 ,65500 ,58528 ,60170 
1997-07-31,65000 ,65200 ,64300 ,64900 ,57991 ,111910 
1997-08-01,65200 ,66000 ,65000 ,65500 ,58528 ,84831 
1997-08-04,65500 ,66300 ,65500 ,66000 ,58974 ,67330 
1997-08-05,66500 ,69000 ,66200 ,69000 ,61655 ,163670 
1997-08-06,69000 ,69900 ,68500 ,69300 ,61923 ,218720 
1997-08-07,69000 ,69900 ,68800 ,69500 ,62102 ,100250 
1997-08-08,69500 ,69700 ,69000 ,69500 ,62102 ,81190 
1997-08-11,72000 ,72500 ,71500 ,71900 ,64246 ,146290 
1997-08-12,72000 ,73100 ,71700 ,72500 ,64782 ,239960 
1997-08-13,72700 ,75500 ,72700 ,74700 ,66748 ,262260 
1997-08-14,74000 ,74500 ,72500 ,73500 ,65676 ,180450 
1997-08-15,74000 ,74500 ,72500 ,73500 ,65676 ,180450 
1997-08-18,71600 ,72500 ,71000 ,71100 ,63531 ,47650 
1997-08-19,71400 ,71400 ,70000 ,71000 ,63442 ,79570 
1997-08-20,71000 ,74400 ,70500 ,72800 ,65050 ,218130 
1997-08-21,72400 ,73500 ,72000 ,72000 ,64336 ,100340 
1997-08-22,72000 ,72800 ,71200 ,72500 ,64782 ,100373 
1997-08-25,73300 ,73500 ,72000 ,72800 ,65050 ,72320 
1997-08-26,72200 ,72700 ,71900 ,72500 ,64782 ,71720 
1997-08-27,72000 ,72500 ,71800 ,71800 ,64157 ,123250 
1997-08-28,71800 ,71900 ,71000 ,71300 ,63710 ,191133 
1997-08-29,70800 ,72500 ,70300 ,70800 ,63263 ,149530 
1997-09-01,70400 ,71000 ,69200 ,70000 ,62549 ,76170 
1997-09-02,69300 ,71000 ,68700 ,71000 ,63442 ,97370 
1997-09-03,71000 ,71000 ,69200 ,69200 ,61834 ,108600 
1997-09-04,69800 ,69800 ,68100 ,68300 ,61029 ,88900 
